,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Most_Important_Issue,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters
9073,Blues,578.487969389,595.918869637,658.739706936,,180.135703665,Yes,No
9074,Yellows,503.408299029,639.964546372,766.484722217,Social,203.341720478,Yes,No
9075,Greys,621.383820849,573.196406126,613.106768834,Financial,129.067908948,Yes,No
9076,Purples,264.194230027,736.474222855,804.90361538,Environment,380.167217793,No,Yes
9077,Whites,965.522984508,974.054545522,984.300620936,Military,16.1128262027,Yes,Yes
9078,Yellows,353.314998576,538.623537092,617.557688613,Environment,110.828071576,Yes,No
9079,Oranges,393.011238936,516.042842161,723.74071888,Financial,26.2679669803,Yes,No
9080,Yellows,525.477454806,527.924301908,731.490593233,Education,77.7855361059,Yes,No
9081,Yellows,427.355671794,544.312069505,591.232560347,Environment,18.7362506348,Yes,No
9082,Greys,420.492877156,561.567149827,715.107548557,Healthcare,143.270525331,Yes,No
9083,Oranges,454.1053244,596.39678407,767.846917335,Environment,71.7115007024,Yes,No
9084,Blues,430.876168428,586.952100189,632.718390575,Education,284.321552603,Yes,No
9085,Yellows,525.922420539,629.45366814,840.079950573,Education,204.58891377,Yes,No
9086,Blues,589.254146853,670.954099201,664.274557596,Education,123.341934244,Yes,No
9087,Greys,601.287883496,608.994002472,657.985440905,Social,27.8603991571,Yes,No
9088,Greens,890.48147754,577.639910627,552.805125713,Foreign_Affairs,300.821696217,Yes,Yes
9089,Greys,467.46371675,602.410505612,737.944352075,Environment,102.938186209,Yes,No
9090,Reds,603.454766819,645.211627666,716.08905635,Social,333.072179077,Yes,No
9091,Greens,775.173750847,804.878865844,681.505695451,Other,185.749758351,Yes,Yes
9092,Greens,951.186691727,812.849054979,798.663762864,Foreign_Affairs,172.763275356,Yes,Yes
9093,Yellows,583.149640142,590.328800041,886.758141348,Financial,48.5215063773,Yes,No
9094,Whites,431.984973606,678.571978365,901.20218686,Foreign_Affairs,76.507418521,Yes,Yes
9095,Yellows,474.744650366,600.478478569,763.707427336,Education,101.51119115,Yes,No
9096,Greys,427.847619648,565.407158153,708.97442226,Education,74.1113646691,Yes,No
9097,Greens,861.360820318,974.349315459,803.398479009,Foreign_Affairs,208.804411164,Yes,Yes
9098,Oranges,458.548208987,601.503584197,744.193558862,Healthcare,51.2810439062,Yes,No
9099,Yellows,386.410457292,545.819592378,592.665322689,Social,183.014556741,Yes,No
9100,Blues,408.562151209,581.709073239,576.322682979,Education,49.4929392182,Yes,No
9101,Pinks,777.767856111,692.744043889,982.288147953,Military,57.9305444557,Yes,Yes
9102,Blues,574.315105882,652.257284609,639.786916264,Social,89.5744169303,Yes,No
9103,Reds,637.321876065,693.119729321,700.088896178,Social,326.207160543,Yes,No
9104,Oranges,392.852073392,566.470962574,742.421234764,Financial,273.10990451,Yes,No
9105,Greens,236.292561208,459.547660511,58.9753279928,Other,68.5381138981,Yes,Yes
9106,Greys,613.03522183,563.912996141,637.37180446,Education,24.7931467272,Yes,No
9107,Greys,421.913751915,566.441855845,681.350311495,Financial,21.3613179482,Yes,No
9108,Oranges,397.011580608,574.174572406,722.722146267,Education,122.386823426,Yes,No
9109,Browns,553.86003475,237.56689706,104.621509275,Healthcare,612.780608552,No,No
9110,Oranges,402.31304919,566.931972601,714.467099435,Healthcare,37.5397460289,Yes,No
9111,Yellows,503.582472425,575.651487941,814.702639028,Healthcare,203.117523157,Yes,No
9112,Greys,467.431091089,604.267611268,747.291936685,Financial,11.0365268092,Yes,No
9113,Greys,653.145993719,592.351807347,646.421767773,Healthcare,75.6417646359,Yes,No
9114,Blues,456.589051454,609.673339156,600.570790694,Financial,10.2574613848,Yes,No
9115,Yellows,372.411909205,547.220155785,571.520788342,,32.5680786615,Yes,No
9116,Blues,453.888320342,594.084847286,602.275051738,Education,34.9196613731,Yes,No
9117,Whites,490.749472985,659.991920308,728.056671217,Foreign_Affairs,81.8910072918,Yes,Yes
9118,Yellows,509.398878753,612.912731584,831.430180795,Education,287.520773512,Yes,No
9119,Greys,472.307741736,609.775183649,749.712231059,Healthcare,249.455434947,Yes,No
9120,Blues,416.77566774,575.346661494,582.713215255,Social,267.403760496,Yes,No
9121,Reds,342.088943366,662.595239128,879.956415362,Education,51.5641184251,Yes,No
9122,Whites,289.428548655,629.14362838,826.524142654,Foreign_Affairs,102.507926309,Yes,Yes
9123,Pinks,918.283982931,539.950066013,831.602810515,Military,46.8349116185,Yes,Yes
9124,Reds,560.676517552,615.323751861,670.969117391,Social,42.2278003247,Yes,No
9125,Blues,421.129346845,565.777505371,603.325028941,Environment,324.862325468,Yes,No
9126,Pinks,953.550485126,578.794909175,872.94433535,Military,219.743819251,Yes,Yes
9127,Greys,610.592859483,577.180551986,623.385151455,Social,99.5849178054,Yes,No
9128,Yellows,536.753914023,609.756669041,755.200658721,Education,117.896880595,Yes,No
9129,Oranges,428.632677838,580.028988571,794.430600357,Social,118.773616317,Yes,No
9130,Yellows,425.565551068,597.361448961,622.087545823,Environment,46.3557468572,Yes,No
9131,Blues,424.537638207,576.197242349,602.894484513,Education,332.3903875,Yes,No
9132,Greys,438.773074683,589.451525521,708.192429718,Financial,289.075179105,Yes,No
9133,Whites,465.408509364,884.590541127,729.940733463,Military,62.3133180302,Yes,Yes
9134,Pinks,999.461002028,895.453369478,917.564866424,Other,157.030548236,Yes,Yes
9135,Pinks,862.408540921,831.159999594,931.966367267,Military,152.912232011,Yes,Yes
9136,Yellows,382.652796817,617.867350375,591.600178896,Financial,78.4446239939,Yes,No
9137,Reds,584.494718184,659.578338748,678.473038953,Social,200.686866433,Yes,No
9138,Yellows,352.547865281,508.868763682,588.734954635,Education,98.7945867598,Yes,No
9139,Pinks,906.820059582,834.548559971,860.487649092,Military,127.360330034,Yes,Yes
9140,Blues,587.599022414,655.216254242,661.416145909,Social,160.801929218,Yes,No
9141,Blues,392.68197252,559.212588578,593.547508575,Environment,122.243689342,Yes,No
9142,Blues,616.86670011,643.865184327,664.568392469,Social,190.909887952,Yes,No
9143,Greys,459.261045975,604.755289201,755.979446293,Education,191.866907997,Yes,No
9144,Oranges,449.553125116,580.78414085,759.361847793,Financial,241.753244131,Yes,No
9145,Greens,610.008242377,877.260588394,205.032247351,Other,71.2107170295,Yes,Yes
9146,Yellows,499.206963658,624.551483073,778.065903286,Education,104.88905486,Yes,No
9147,Whites,659.699857468,929.988317518,878.305317056,Military,120.325733282,Yes,Yes
9148,Browns,617.805260726,618.323920774,767.855158662,Social,397.072245838,No,No
9149,Blues,563.615120774,611.631575102,641.81732583,Social,152.489858308,Yes,No
9150,Reds,566.38283007,648.760290263,637.374104547,Financial,144.951175312,Yes,No
9151,Oranges,778.638649204,824.186245264,664.438946714,Environment,69.7599102477,Yes,No
9152,Yellows,466.082065052,670.437927106,819.692250558,Financial,31.5210532143,Yes,No
9153,Yellows,412.448794053,597.693875487,646.389315312,Education,199.855300673,Yes,No
9154,Yellows,370.386964757,580.104717307,566.404651059,Education,92.7315490865,Yes,No
9155,Blues,404.381762108,586.162817159,584.090867309,Social,176.925684478,Yes,No
9156,Oranges,400.176622345,576.080932361,757.650474592,Social,315.312699617,Yes,No
9157,Reds,578.033885349,,689.665861716,Social,145.984174815,Yes,No
9158,Reds,384.127497213,727.748260584,877.544016215,Social,277.625424505,Yes,No
9159,Greys,426.35557385,618.622056682,738.05553741,Education,118.967724139,Yes,No
9160,Yellows,387.784836651,511.36121944,571.061829897,Healthcare,14.013012197,Yes,No
9161,Blues,464.469885951,582.732785806,612.090866136,Social,314.618653126,Yes,No
9162,Pinks,857.171481545,169.041688787,385.105956669,Other,39.8845684293,Yes,Yes
9163,Yellows,400.935361261,564.109184019,598.319384814,Healthcare,147.760033741,Yes,No
9164,Oranges,797.315741756,859.243500028,687.886015627,Financial,49.1296790185,Yes,No
9165,Yellows,415.04040894,640.092550548,616.511693619,Healthcare,23.8026495987,Yes,No
9166,Greys,456.717073185,644.624470357,746.296524213,Environment,53.8679717815,Yes,No
9167,Blues,436.857682849,592.246327086,594.282797567,Social,214.927998385,Yes,No
9168,Blues,422.332790015,592.988048618,607.859923658,Education,122.789043586,Yes,No
9169,Purples,660.412065738,689.988143328,811.979785931,Education,309.305630089,No,Yes
9170,Blues,591.230916036,662.393855081,671.361327546,Environment,169.684543017,Yes,No
9171,Blues,596.981768165,653.738400612,639.143674507,Healthcare,235.650630287,Yes,No
9172,Yellows,397.214788941,558.184533744,553.68176202,Healthcare,20.0191956271,Yes,No
9173,Reds,394.501161741,707.553170031,860.879167255,Education,33.8637089294,Yes,No
9174,Blues,439.864170453,605.292435427,632.76226615,Education,77.4833993006,Yes,No
9175,Blues,635.855656721,670.924461221,691.349158245,Social,247.50949671,Yes,No
9176,Whites,428.526789881,961.437590828,831.80098015,Foreign_Affairs,228.190988733,Yes,Yes
9177,Yellows,419.73190179,631.81853939,641.614975878,Social,179.054625357,Yes,No
9178,Oranges,776.054234919,823.3450833,674.416590384,Financial,173.794546677,Yes,No
9179,Oranges,422.765061001,567.555955962,760.674970234,Education,124.158224981,Yes,No
9180,Oranges,441.666008392,584.250677012,759.058017134,Financial,241.780225154,Yes,No
9181,Blues,388.603110798,590.705335052,601.163376511,Education,133.442996702,Yes,No
9182,Oranges,418.988125339,553.735519879,770.370390819,Education,44.4480122185,Yes,No
9183,Greys,432.766646302,590.244151938,707.44452819,Education,73.5468730374,Yes,No
9184,Greys,591.359931592,542.16749594,608.031555331,Healthcare,61.4032373391,Yes,No
9185,Greens,632.208047078,652.177019233,561.483039055,Foreign_Affairs,32.3802433014,Yes,Yes
9186,Greens,824.169397095,822.20250226,604.845410213,Foreign_Affairs,118.314073409,Yes,Yes
9187,Yellows,383.023495094,542.034719342,653.959785135,Social,132.560369994,Yes,No
9188,Browns,857.097552773,792.564270369,473.758558903,Education,454.548700277,No,No
9189,Oranges,810.800408451,880.359493624,701.183749931,Education,13.7396579607,Yes,No
9190,Oranges,832.553247054,870.339175537,702.952661728,Social,46.0121175304,Yes,No
9191,Greens,908.424285283,276.505393182,195.268366253,Other,215.598693919,Yes,Yes
9192,Oranges,754.389814837,847.606840261,683.405791062,Healthcare,52.9860968496,Yes,No
9193,Reds,597.136875407,677.596677966,703.48418762,Environment,76.5281870862,Yes,No
9194,Reds,585.019717622,631.941546381,693.026504064,Social,78.6867161979,Yes,No
9195,Reds,434.140169075,729.100065745,881.637703338,Education,208.092171528,Yes,No
9196,Greys,598.730889354,572.507962931,638.47993621,Environment,145.286900888,Yes,No
9197,Yellows,388.657185376,606.867014042,604.999581845,Healthcare,147.399104991,Yes,No
9198,Greys,451.955754688,578.526411687,740.587718766,Financial,224.665588948,Yes,No
9199,Greys,626.317955188,582.893570536,653.16423165,Education,178.447208788,Yes,No
9200,Yellows,524.763005075,628.039224718,727.121884762,Environment,73.473744682,Yes,No
9201,Yellows,401.610888297,570.920352807,621.588882404,Education,171.547362013,Yes,No
9202,Yellows,508.469967052,605.068951382,777.374329369,Environment,246.718315313,Yes,No
9203,Yellows,348.758597707,563.540730039,580.848359666,Environment,129.089453209,Yes,No
9204,Yellows,411.259906425,603.686912427,629.007424372,Social,212.139787304,Yes,No
9205,Pinks,864.593538441,735.495161964,866.698864444,Other,219.763608028,Yes,Yes
9206,Greens,918.67186284,990.895755424,818.76635435,Foreign_Affairs,87.3764914466,Yes,Yes
9207,Greys,422.062073123,569.576659967,701.87486636,Financial,109.787021395,Yes,No
9208,Yellows,404.366797845,524.77855405,611.16797622,Education,206.450420676,Yes,No
9209,Reds,611.462100249,669.503478236,719.232439051,Environment,339.333131098,Yes,No
9210,Yellows,367.573239901,578.765239439,580.147725712,Environment,69.3165256917,Yes,No
9211,Yellows,340.359091169,606.123031664,569.513027274,Social,257.012860087,Yes,No
9212,Pinks,813.827031855,509.886595653,660.429526798,Military,19.50893953,Yes,Yes
9213,Blues,436.494269647,603.302163413,620.518089203,Healthcare,221.388298922,Yes,No
9214,Browns,371.193019134,730.888616877,590.16757154,Social,571.769555701,No,No
9215,Blues,583.780548807,621.899474206,647.937321379,Education,206.896537028,Yes,No
9216,Reds,624.659545268,681.149426906,736.750792004,Financial,106.197708844,Yes,No
9217,Yellows,423.949350827,581.797640172,655.20695235,Social,50.152234229,Yes,No
9218,Blues,579.645894256,622.190602312,631.10828074,Social,122.814658586,Yes,No
9219,Yellows,400.776473212,619.07909198,616.254056215,Environment,39.2846067459,Yes,No
9220,Yellows,471.900509537,564.03869977,745.56055161,Social,229.546006095,Yes,No
9221,Yellows,364.858896554,579.583165617,635.010439862,Financial,201.380807877,Yes,No
9222,Whites,739.66591456,870.63959189,815.152164877,Foreign_Affairs,267.948110698,Yes,Yes
9223,Pinks,579.173028738,205.459698336,898.932262396,Military,67.5179488533,Yes,Yes
9224,Browns,513.823926327,871.544123461,90.6945540731,Education,456.410225357,No,No
9225,Pinks,511.017450295,133.814146975,217.055663296,Military,194.457925758,Yes,Yes
9226,Whites,474.849785445,893.958528252,717.316619183,Military,67.5117985797,Yes,Yes
9227,Whites,860.212909523,923.575726025,893.613140969,Military,202.982541869,Yes,Yes
9228,Yellows,396.255443313,575.743739264,570.439445997,Financial,176.571136585,Yes,No
9229,Blues,430.924083022,581.497734795,631.426003363,Environment,191.586267005,Yes,No
9230,Oranges,407.565224121,553.369211959,750.282908272,Education,14.3300428255,Yes,No
9231,Blues,421.994004902,583.102184611,616.564663287,Environment,86.6868962061,Yes,No
9232,Greens,737.350620638,566.25362463,403.323758161,Foreign_Affairs,127.539856194,Yes,Yes
9233,Whites,498.105315724,776.14301512,698.717077808,Foreign_Affairs,113.775609756,Yes,Yes
9234,Reds,461.317869052,741.544467789,874.34246558,Social,42.7297911085,Yes,No
9235,Blues,377.534553853,543.208723304,561.199072332,Education,129.171801635,Yes,No
9236,Greys,453.893867039,624.125206998,766.067605226,Financial,149.300011066,Yes,No
9237,Yellows,576.246827189,668.931695069,858.622633456,Financial,107.283273549,Yes,No
9238,Reds,552.875222109,621.852019754,687.993484085,Financial,68.8087518819,Yes,No
9239,Blues,407.798550111,560.134397385,578.251581586,Environment,203.083865711,Yes,No
9240,Oranges,417.336161355,571.289095038,721.641114324,Social,26.9025700326,Yes,No
9241,Reds,398.455629438,701.781019661,863.985496837,Financial,106.777109467,Yes,No
9242,Purples,325.705231021,522.245309101,562.401345158,Social,268.704613431,No,Yes
9243,Reds,554.797934859,629.336880196,648.520339288,Education,192.76815067,Yes,No
9244,Greens,985.065685553,620.018307937,556.508155074,Foreign_Affairs,132.134440696,Yes,Yes
9245,Reds,642.564724172,709.522365388,716.600845279,Education,49.9419209683,Yes,No
9246,Reds,400.814534581,713.102702179,852.919176363,Healthcare,126.085811644,Yes,No
9247,Greens,997.129609327,997.394238599,994.770408841,Other,186.263214653,Yes,Yes
9248,Whites,401.556424098,715.917329889,567.566553491,Foreign_Affairs,214.983678089,Yes,Yes
9249,Blues,450.387765063,612.458322148,629.343042351,Healthcare,102.090271783,Yes,No
9250,Oranges,428.448416808,578.353752569,734.643488475,Healthcare,111.089455292,Yes,No
9251,Greys,589.020958792,583.95427461,633.342668193,Environment,,Yes,No
9252,Greens,703.68735955,794.398631842,467.864253093,Foreign_Affairs,123.349703442,Yes,Yes
9253,Blues,410.025322289,586.00438635,596.370845758,Environment,68.9577109874,Yes,No
9254,Whites,693.673680071,857.667884541,836.557172704,Foreign_Affairs,128.483459594,Yes,Yes
9255,Reds,362.996154175,678.140054744,844.062055702,Education,131.522537392,Yes,No
9256,Pinks,363.825252531,231.311722659,929.178121599,Military,144.539153959,Yes,Yes
9257,Greys,614.94342744,605.959868588,657.378526958,Environment,67.0541200413,Yes,No
9258,Blues,435.968802379,595.9758021,628.89685094,Healthcare,135.837538777,Yes,No
9259,Reds,637.78643662,681.017048788,711.786951578,Education,109.665152688,Yes,No
9260,Reds,589.456604939,628.433172619,685.431567252,Social,135.358426685,Yes,No
9261,Reds,419.202888365,701.912781084,858.67585077,Social,59.3102570037,Yes,No
9262,Yellows,301.305975488,521.957121454,573.815045452,Financial,229.553605091,Yes,No
9263,Reds,596.749016287,636.521580284,708.697041114,Education,53.056910691,Yes,No
9264,Whites,294.891696889,737.066445969,990.174542018,Military,298.950684294,Yes,Yes
9265,Reds,355.703363532,676.476659699,825.073872907,Education,96.1375659739,Yes,No
9266,Blues,577.327276179,641.481050315,644.505099806,Financial,321.01096774,Yes,No
9267,Oranges,398.672797828,595.145338728,732.509993071,Environment,143.314558117,Yes,No
9268,Blues,410.660149521,588.222843287,582.881962691,Education,119.602854029,Yes,No
9269,Pinks,951.777660096,597.871818347,834.77510316,Military,207.74822522,Yes,Yes
9270,Yellows,414.38344719,581.392939015,620.550200694,Environment,150.21277385,Yes,No
9271,Blues,419.19030038,568.755460234,597.693692553,Environment,140.501212998,Yes,No
9272,Reds,578.650347873,676.80932372,696.829303414,Social,103.116970637,Yes,No
9273,Blues,615.196902124,639.358090344,683.400292631,Education,197.774138141,Yes,No
9274,Yellows,359.485009772,527.871773328,576.864878581,Financial,53.0619410934,Yes,No
9275,Greys,481.363333047,638.126968994,771.977684473,Education,123.971924934,Yes,No
9276,Greys,641.899798775,614.72399148,659.839892081,Social,130.351630396,Yes,No
9277,Yellows,439.091265335,587.266952275,653.12529926,Environment,58.4905500909,Yes,No
9278,Reds,394.024682498,687.135333267,851.623081305,Social,113.432327359,Yes,No
9279,Whites,520.524417283,710.264938093,982.087115841,Foreign_Affairs,334.250756803,Yes,Yes
9280,Yellows,354.689924277,577.564516532,617.583579891,Financial,169.649577124,Yes,No
9281,Blues,597.578363011,630.670048666,660.705742195,Environment,42.1080382039,Yes,No
9282,Browns,606.431568149,179.162595712,860.80194607,Financial,394.243211917,No,No
9283,Greys,618.70194421,610.397563304,627.367515979,Social,288.015939079,Yes,No
9284,Pinks,672.345271513,205.653947778,401.12616784,Other,286.140391574,Yes,Yes
9285,Whites,792.359716957,867.033013343,929.194614783,Military,107.998461422,Yes,Yes
9286,Yellows,478.450209375,657.71734094,733.678125249,Financial,151.766060697,Yes,No
9287,Whites,882.092533866,900.417247945,887.630176129,Foreign_Affairs,52.5243866993,Yes,Yes
9288,Blues,602.897628779,619.367069478,639.304182802,Healthcare,144.563017377,Yes,No
9289,Greens,866.339492381,952.732937458,640.593474032,Foreign_Affairs,194.060542704,Yes,Yes
9290,Browns,834.571505469,346.001463229,52.5134789223,Healthcare,362.911899281,No,No
9291,Yellows,386.12119549,,592.742905588,Social,188.01419084,Yes,No
9292,Reds,590.39981538,680.368029528,743.012243463,Education,114.010691454,Yes,No
9293,Yellows,411.465005069,635.465319074,674.745324169,Healthcare,288.231704501,Yes,No
9294,Yellows,354.22828058,565.459701424,532.765836439,Social,41.4527574287,Yes,No
9295,Greys,656.374074339,591.102906182,632.10146982,Environment,83.033606076,Yes,No
9296,Pinks,793.388383099,690.223214915,873.110551283,Other,108.753695517,Yes,Yes
9297,Blues,573.952995504,636.373320589,638.932308587,Social,265.143616675,Yes,No
9298,Yellows,359.652086237,583.53876828,635.855629636,Environment,74.1519305642,Yes,No
9299,Blues,430.11679706,571.001557219,590.144963139,Healthcare,76.5011269099,Yes,No
9300,Yellows,403.04006544,646.241857907,608.562416396,Environment,312.952786456,Yes,No
9301,Yellows,541.337226056,635.701542989,918.516757178,Education,134.488247606,Yes,No
9302,Oranges,413.655906022,587.810635537,757.311302723,Healthcare,119.690172393,Yes,No
9303,Yellows,336.120272809,532.115645005,578.759949505,Education,113.473075454,Yes,No
9304,Yellows,441.364189399,605.686719767,609.80847312,Environment,273.588664696,Yes,No
9305,Reds,358.811078609,680.875897006,819.948613128,Environment,96.2357790961,Yes,No
9306,Blues,580.922978228,661.648633929,676.468513759,Environment,47.7894833378,Yes,No
9307,Blues,612.315395877,664.37163558,666.083466836,Financial,77.8348419467,Yes,No
9308,Reds,626.122313521,679.496667976,747.636468726,Education,169.496616792,Yes,No
9309,Pinks,782.647022721,75.1630994491,445.269980028,Other,226.059318949,Yes,Yes
9310,Whites,170.812538592,488.29981869,882.842950469,Military,78.1721833457,Yes,Yes
9311,Blues,582.614263625,655.136945217,637.386338038,Financial,93.6688070623,Yes,No
9312,Yellows,380.299642906,552.432095641,643.532187718,Education,142.905878421,Yes,No
9313,Blues,456.249047957,598.763757021,617.526567529,Education,93.1864323163,Yes,No
9314,Reds,603.089648393,666.63072502,697.831360131,Education,153.169969726,Yes,No
9315,Greys,648.601448575,614.408227424,642.274096642,Social,189.217535111,Yes,No
9316,Yellows,523.45476196,588.719416801,660.363047067,Healthcare,150.773080453,Yes,No
9317,Yellows,306.58399585,572.857152918,613.225832262,Education,228.030635275,Yes,No
9318,Browns,521.185575204,78.4724895982,102.463353936,Financial,356.158683174,No,No
9319,Pinks,728.251805497,602.795275394,620.894114746,Other,45.0309559564,Yes,Yes
9320,Yellows,375.90053462,594.689365375,657.951784904,Education,101.503536366,Yes,No
9321,Yellows,413.273486657,638.881212194,586.385794946,Healthcare,22.7088962795,Yes,No
9322,Yellows,366.168034187,589.131832987,632.850100828,Healthcare,268.646975168,Yes,No
9323,Yellows,505.48908598,672.213773128,788.150115266,Social,132.267854575,Yes,No
9324,Reds,643.355391957,635.136467752,708.751246682,Environment,50.4898988402,Yes,No
9325,Blues,418.468107115,565.189514805,600.832379351,Environment,38.3300309633,Yes,No
9326,Greys,460.358210041,589.512343104,717.532400053,Education,186.947919397,Yes,No
9327,Yellows,521.282367159,550.132438118,846.135110575,Healthcare,62.6360176654,Yes,No
