,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_IssueInt,Looking_at_poles_resultsInt,MarriedInt,GenderInt,Voting_TimeInt,Will_vote_only_large_partyInt,Age_groupInt,Main_transportationInt,OccupationInt,Financial_agenda_mattersInt
9010,Pinks,10,260.995214097,86132.4502373,Military,86.998404699,No,990.046317921,No,Male,After_16:00,0.727961865487,0.286801780341,3.86305403663,4.11943432409,4.86582607497,1.84637082042,6958.0,93.4623635374,482.826580061,10866.1163393,74789.4029112,Yes,980191.711628,21.9733151814,468083.602148,83.7619456463,7665.72082488,50,45_and_up,3,953.820056059,5,Public_or_other,Public_Sector,840.543004424,0,Yes,5.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0
9011,Yellows,6,53.0122757224,7400.80102691,Education,17.6707585741,No,418.816260539,Yes,Male,By_16:00,0.995202740422,0.267722093733,0.040638782084,3.85368532035,6.37314933119,7.22705754451,9591.0,69.9719451135,604.454991475,5397.07258834,70530.0722033,Yes,175407.060092,24.5856663826,731815.002587,9.51719563454,339.92646716,100,45_and_up,2,913.147563081,10,Public_or_other,Public_Sector,654.5128894,0,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0
9012,Oranges,5,901.243250127,131718.071344,Healthcare,300.414416709,No,438.454561493,Yes,Female,By_16:00,0.276255533099,0.354291271186,3.20535554551,5.16549052903,0.724052148871,3.23589557316,5615.0,99.289220944,579.61032793,5543.76627079,71787.2880796,Yes,192242.402494,24.0750976723,673125.794453,84.2913488625,90559.2361833,80,45_and_up,1,956.032453455,16,Foot_or_bicycle,Industry_or_other,781.075404337,1,No,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
9013,Pinks,8,322.710173025,55807.7358323,Other,107.570057675,No,518.803624713,No,Female,After_16:00,0.423906510463,0.515371619957,0.149212172255,6.94127426716,8.54836032493,9.42671551835,7990.0,74.6337852906,495.605017291,6179.24628171,70003.8482173,Yes,269157.201015,22.2621880616,492713.808441,76.7423528014,11688.8873659,50,45_and_up,2,966.094121813,1,Car,Student_or_Unemployed,936.338487559,2,Yes,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
9014,Yellows,8,230.84192227,31503.5926849,Environment,76.9473074233,No,409.417739748,Yes,Female,By_16:00,0.640759535832,0.342850285349,1.25562852016,4.42371701123,0.237124571577,9.8952822038,8553.0,9.12784552202,612.592463779,5319.36232504,70077.9963947,Yes,167622.88562,24.7506053215,751571.970998,84.4447350828,6007.83542712,90,Below_30,1,899.024941737,17,Foot_or_bicycle,Student_or_Unemployed,613.499900723,0,No,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0
9015,Oranges,6,414.272838165,60108.2323443,Healthcare,138.090946055,No,435.280038709,Yes,Male,By_16:00,0.682890858734,0.92862633965,3.81750902161,8.61629646271,2.08918912569,5.10294756386,8645.0,97.9758834699,553.463260153,5459.7269074,68713.9343162,Yes,189468.712099,23.5257998834,613829.184754,63.2464458467,19217.2003285,80,Below_30,3,912.016956397,18,Foot_or_bicycle,Student_or_Unemployed,740.744036777,1,No,4.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0
9016,Yellows,3,577.363980994,100847.906181,Healthcare,192.454660331,No,524.008647062,No,Female,After_16:00,0.372848647414,0.694704368012,5.16143348068,4.25725627225,9.93180393474,4.03577685123,9582.0,14.5150201861,580.944505885,6401.97548239,73104.709534,Yes,274585.062196,24.102790417,676297.524834,68.6110187555,37241.2509436,80,Below_30,5,960.490095288,4,Foot_or_bicycle,Student_or_Unemployed,770.47835057,0,No,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0
9017,Yellows,2,208.106185954,28294.5985697,Healthcare,69.3687286513,No,407.886941563,Yes,Female,After_16:00,0.336659200955,0.63014286547,2.02486702474,2.38983368035,0.570390284993,2.33272562036,4412.0,39.3221898703,563.361163555,5205.59174274,66300.2073471,Yes,166371.757098,23.7352304298,635791.107114,53.6333112512,4891.38924335,80,30-45,5,858.623225185,7,Car,Services_or_Retail,621.618967659,0,No,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
9018,Blues,4,326.691522547,48481.5003257,Education,108.897174182,No,445.204392949,Yes,Male,After_16:00,0.257969317026,0.407549166353,2.38955048611,0.670505794697,8.25256822631,9.59748852765,6570.0,50.1931585604,597.717759447,5647.47944839,69581.4426419,Yes,198206.951501,24.4482670029,715605.442013,70.7700002706,11977.4917191,100,Below_30,3,891.065275101,20,Public_or_other,Hightech,617.197704609,0,No,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
9019,Greys,6,745.386203086,113920.492174,Social,248.462067695,No,458.502552244,Yes,Male,By_16:00,0.319620517315,0.330717483303,7.13756228331,2.31484710006,7.4908105121,7.36505229957,7706.0,0.140065257438,600.192040138,5785.40960271,72241.6736744,Yes,210224.590414,24.4988171171,721643.897299,89.704521466,61991.8611512,70,45_and_up,2,943.235419071,1,Foot_or_bicycle,Industry_or_other,714.424655444,0,No,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9020,Blues,1,84.4912860678,16617.0451153,Financial,28.1637620226,No,590.015108848,No,Female,By_16:00,0.407549815252,0.580756848212,3.0664259824,8.13510776265,1.30944996141,2.10978839314,6569.0,79.0277362335,641.258508123,7182.66810472,76469.3929882,Yes,348117.828669,25.3230825162,823683.157305,66.0615477012,831.361253288,60,Below_30,4,965.231026628,11,Motorcycle_or_truck,Services_or_Retail,658.193716866,0,No,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0
9021,Greens,3,279.00162279,85870.4085659,Other,93.00054093,No,923.332355997,No,Female,After_16:00,0.203508872772,0.383388528368,5.81232446712,4.70213237219,5.50614038948,1.84856593376,9502.0,78.7934595486,843.463856088,10920.2512721,97992.1394804,Yes,852542.639631,29.0424492095,1424440.16284,69.7157591116,8752.1011542,50,30-45,1,1173.5894222,8,Car,Services_or_Retail,644.277432235,0,Yes,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
9022,Reds,5,436.660680099,86900.0999162,Financial,29.5676280042,No,601.200576448,No,Female,After_16:00,0.767755062319,0.591044735862,9.25366337178,4.48328853585,0.703453011811,9.77850137977,3222.0,5.04098152742,666.209034419,6969.9153567,79280.8394483,Yes,361442.133121,25.811025443,888965.534219,50.9485971881,21341.3923983,60,30-45,1,1002.39746895,15,Foot_or_bicycle,Hightech,685.378560662,0,No,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9023,Yellows,9,139.955969742,15646.5587878,Education,46.6519899141,No,335.388883017,Yes,Male,By_16:00,0.913133386057,0.99248400121,9.77494259365,3.13443668652,6.16170481313,1.0073710815,7750.0,57.7566700755,526.732195729,4407.35322163,61952.6398956,Yes,112485.702851,22.9506469567,555852.585842,87.2927072691,2233.06015286,100,30-45,2,814.390325892,1,Foot_or_bicycle,Student_or_Unemployed,613.584922868,0,No,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0
9024,Reds,9,826.296003116,94783.5479148,Healthcare,275.432001039,No,344.12685366,Yes,Female,By_16:00,0.751134228427,0.313202141318,6.91265345551,4.4693735172,7.20965113956,2.40758084925,7397.0,41.639563744,675.475196358,4792.21892932,78280.5471367,Yes,118423.29141,25.9899056627,913687.277118,96.2478847709,76148.2191973,80,Below_30,2,1042.17459939,17,Foot_or_bicycle,Industry_or_other,799.668474601,2,No,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
9025,Oranges,3,377.282187359,50747.07981,Environment,125.76072912,No,403.520877823,Yes,Male,After_16:00,0.264284606325,0.809909634758,5.32667655963,2.15319096111,0.132409259677,5.51969552878,8890.0,91.7345896363,585.847942123,5206.90466247,71330.6744771,Yes,162829.098839,24.2042959436,687614.490596,56.2365499791,15951.5217179,90,45_and_up,3,950.288804916,2,Motorcycle_or_truck,Services_or_Retail,765.347138445,2,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0
9026,Yellows,4,103.715118828,14131.271996,Healthcare,34.5717062759,No,408.752518121,Yes,Female,By_16:00,0.45737884054,0.434028465766,2.10163282463,9.83778992202,3.56290415628,9.08858272713,3214.0,59.6155605745,638.237388263,5363.99995774,72196.451958,Yes,167078.62107,25.2633605893,815729.578684,19.5432262961,1239.77458111,80,45_and_up,3,923.738207529,20,Foot_or_bicycle,Services_or_Retail,616.898612561,0,No,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0
9027,Pinks,2,434.597420053,119923.261954,Other,144.865806684,No,827.823105386,No,Female,By_16:00,0.525084628956,0.919829952763,0.761018802878,1.33726058528,5.73348574806,1.77611992927,6139.0,96.1428410606,762.660874519,9803.55280289,95641.4316531,Yes,685291.09381,27.6163153683,1165034.76254,15.2464010986,21140.967753,50,45_and_up,2,1216.03729109,6,Motorcycle_or_truck,Hightech,893.720386958,0,Yes,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
9028,Yellows,9,913.240667068,120919.12067,Social,304.413555689,No,397.219895141,Yes,Female,After_16:00,0.241754835472,0.683398506837,7.76310073445,6.38474001549,6.39680036111,4.50250811642,5399.0,26.8244804116,589.307391882,5150.81373517,67831.5854344,Yes,157783.645096,24.2756543039,695579.461359,56.8009131821,92982.026443,70,45_and_up,1,873.017248,15,Foot_or_bicycle,Hightech,605.837211585,0,No,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
9029,Blues,8,140.368572129,27644.7849714,Healthcare,46.7895240431,No,590.83278868,No,Male,By_16:00,0.865424783668,0.629933868069,4.47105769999,3.6091665132,7.63015903765,0.25308230659,5141.0,65.9935355885,642.09126505,7192.5104169,76838.7979625,Yes,378096.184252,25.3395198268,825833.971982,5.14852288179,2246.04908422,80,45_and_up,1,972.342359824,20,Public_or_other,Services_or_Retail,670.753884821,0,No,4.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0
9030,Yellows,6,384.006100591,45947.0096608,Education,128.00203353,No,358.955310268,Yes,Male,By_16:00,0.407425503246,0.855653240345,6.57659960212,6.21276926482,2.66788006993,8.1544063706,7969.0,6.15872598719,615.843886376,4821.24087544,69155.3942064,Yes,128848.91477,24.8162020941,759495.715867,23.0825252831,16522.5226214,100,30-45,1,889.842920543,6,Motorcycle_or_truck,Public_Sector,599.375783555,2,No,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0
9031,Reds,3,310.926800065,63824.4710639,Healthcare,103.642266688,No,615.81508301,No,Female,By_16:00,0.196114473511,0.557731413748,1.61184173077,6.27361415187,5.50502717728,8.36554850219,5516.0,3.86928378139,682.227784464,7522.60639902,82280.203692,Yes,379228.216462,26.1194905093,932244.581157,9.21891310718,10855.3617109,80,Below_30,4,1050.21965614,5,Foot_or_bicycle,Hightech,749.266283638,0,No,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
9032,Reds,2,130.417844238,16856.6192205,Education,43.4726147461,No,387.752595949,Yes,Female,After_16:00,0.952180367429,0.802697679028,2.88283238653,7.29575410485,4.35991074424,0.843516574241,6437.0,19.4240778219,716.014590378,5309.55514024,83035.1418579,Yes,150352.075665,26.7584489531,1026584.67815,98.8913138164,1943.3408476,100,Below_30,3,1099.75753216,1,Public_or_other,Industry_or_other,833.13828246,3,No,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0
9033,Yellows,7,131.983208814,18241.9650738,Financial,43.9944029379,No,414.642860354,Yes,Male,After_16:00,0.646986962995,0.733425990911,9.28104737075,9.82198946876,6.47362228017,7.36713739112,8558.0,5.94230999704,600.810484563,5348.04957267,69635.2515378,Yes,171928.701643,24.5114357916,723002.488459,28.3119749045,1989.5018928,60,Below_30,2,897.878160114,1,Car,Services_or_Retail,631.368875942,0,No,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0
9034,Blues,7,226.739010859,32185.8827266,Education,75.5796702864,No,425.853706488,Yes,Female,By_16:00,0.038259105524,0.469260402257,8.68560474599,2.03302300535,0.477428550366,1.78905342938,8743.0,98.3056756202,594.028620728,5446.59430634,68926.3000552,Yes,181351.37933,24.3727023682,706791.705906,50.8444664767,5797.86623089,100,30-45,2,885.134985537,13,Car,Industry_or_other,615.847712466,0,No,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
9035,Reds,1,608.2900544,125995.1777,Healthcare,202.763351467,No,621.390289661,No,Male,After_16:00,0.685262292391,0.163977966411,4.14736387786,1.86143654166,6.27510978607,7.71157574607,7230.0,7.9661170952,659.504550698,7532.911998,80029.7764923,Yes,386125.892085,25.6808206781,871250.233226,21.3562470162,41325.7400495,80,30-45,0,1018.86220095,3,Car,Student_or_Unemployed,726.338152704,1,No,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
9036,Reds,10,59.9563374108,7434.24666139,Education,19.9854458036,No,371.983028772,Yes,Female,By_16:00,0.624276907183,0.807577732019,3.10126756551,4.06890662387,1.27348718932,4.13718750235,3785.0,26.433253102,708.616127602,5137.06254293,81625.3703776,Yes,138371.373695,26.6198446202,1005464.84904,24.6083443053,429.403489773,100,45_and_up,0,1079.56952816,10,Motorcycle_or_truck,Student_or_Unemployed,809.233420884,0,No,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0
9037,Blues,7,534.847202547,69655.2100734,Financial,178.282400849,No,390.701548452,Yes,Male,After_16:00,0.933780301129,0.160049622413,5.4535248084,8.51071904646,7.43934542406,0.746607971378,6067.0,26.9669134868,567.184103234,5041.38369098,65538.1938046,Yes,152647.699962,23.8156272904,686827.267501,84.2058542883,31972.8968533,60,30-45,0,843.482352587,6,Motorcycle_or_truck,Student_or_Unemployed,587.893009664,0,No,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0
9038,Yellows,5,670.633554613,116541.998223,Environment,223.544518204,No,521.336864615,No,Male,After_16:00,0.971882181475,0.484296032926,3.76270476263,6.75636830041,1.24361474765,9.23970671836,3507.0,24.7448919108,604.53090232,6422.43045079,74225.4340645,Yes,271792.126407,24.587210137,732185.701244,92.5403908594,50205.6961374,90,45_and_up,2,965.78182856,20,Public_or_other,Services_or_Retail,739.140660021,0,No,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0
9039,Purples,9,801.531566901,178929.410236,Environment,267.177188967,Yes,669.703169377,No,Male,After_16:00,0.0444307229482,0.169453647453,4.42393710604,9.72204360412,3.90247154282,6.79099666188,8162.0,33.7622063933,692.622578882,8082.27685153,86328.4539019,No,448502.335073,26.3177236645,960981.067756,54.5990400482,71660.8274933,90,45_and_up,1,1114.97615341,5,Foot_or_bicycle,Services_or_Retail,849.291030953,1,Yes,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0
9040,Yellows,3,110.97398788,14872.5997381,Education,36.9913292933,No,402.056374351,Yes,Female,After_16:00,0.676643762738,0.71409303369,6.76560566993,4.4695652253,9.20461434871,7.69898887491,5497.0,24.9979188666,615.990969142,5252.5456818,71690.3538995,Yes,161649.328157,24.8191653595,759979.027026,89.4859643886,1415.34977218,100,30-45,1,933.208770623,18,Public_or_other,Student_or_Unemployed,677.222521919,0,No,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0
9041,Reds,4,556.149239535,74795.5523542,Financial,185.383079845,No,403.464827624,Yes,Male,After_16:00,0.649744084105,0.751244921703,3.04401425878,9.17902985355,7.73722528247,3.95049116109,7671.0,41.1235977663,715.349004413,5465.34628507,83321.7143438,Yes,162783.86713,26.7460091306,1024698.1607,33.3769533318,34562.2693727,60,30-45,4,1102.31041111,9,Car,Industry_or_other,836.299648745,0,No,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
9042,Blues,1,191.879037232,25567.3165712,Education,63.9596790772,No,399.741164121,Yes,Male,By_16:00,0.340025455691,0.537807978224,3.82532198215,4.16030060034,1.45402647788,9.9420879595,7550.0,57.4313985649,591.20280622,5179.81725365,67837.6282176,Yes,159792.998293,24.3146623711,700048.900979,15.2096173726,4164.80022674,100,30-45,3,870.878466575,5,Public_or_other,Hightech,597.643649128,0,No,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
9043,Yellows,6,507.414427786,80810.8218019,Healthcare,169.138142595,No,477.780000193,Yes,Male,After_16:00,0.169580581831,0.790545902448,5.74259792455,7.16039181221,0.17689462984,2.25726580247,3052.0,59.3775372952,708.902716812,6195.60543556,82136.7364346,Yes,228273.728585,26.6252270753,1006326.17594,62.4839835102,28786.8494232,80,30-45,1,1061.92651225,17,Public_or_other,Services_or_Retail,752.272134192,0,No,4.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0
9044,Oranges,10,284.085918961,38702.7459824,Environment,94.6953063204,No,408.708176638,Yes,Male,By_16:00,0.820265359944,0.647779643536,5.53561483975,7.44193306891,2.32447374612,5.90526755434,6984.0,81.4168716781,553.012935954,5193.10763828,68880.6314236,Yes,167042.373651,23.5162270774,612834.520995,1.75026787911,9071.89634543,90,30-45,4,923.181537076,9,Motorcycle_or_truck,Services_or_Retail,769.198154108,1,No,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0
9045,Blues,1,239.296586943,30860.8420511,Environment,79.7655289811,No,386.894469896,Yes,Female,After_16:00,0.706992218271,0.653966345824,7.74351765402,3.91179286176,6.29938087892,0.313350425567,5276.0,67.7727343049,614.682833623,4999.17132134,65246.94011,Yes,149687.330836,23.7721120473,639688.249923,9.16284078266,6452.30514262,90,Below_30,0,839.914671118,12,Car,Student_or_Unemployed,585.246488118,4,No,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0
9046,Oranges,4,218.172672054,32789.9945587,Education,31.7808279975,No,450.881326016,Yes,Female,After_16:00,0.663157326169,0.732596227666,8.54535249528,6.43270062981,6.55342478538,3.06822919752,8353.0,72.969301464,613.718013936,5736.24928803,76009.5013215,Yes,203293.97015,24.7733327176,754597.31205,8.51028093603,5371.53698303,100,Below_30,2,1015.84907698,2,Motorcycle_or_truck,Services_or_Retail,836.829463667,0,No,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0
9047,Reds,4,245.008427232,30284.0425406,Education,81.6694757438,No,370.812255923,Yes,Male,By_16:00,0.741426514229,0.696488517569,7.23781732609,4.84352514846,5.00413507689,5.83505914081,6496.0,35.5174775235,741.37794895,5190.87845713,84430.6132194,Yes,137501.729143,27.2282564434,1100481.45033,39.9313444272,6761.57274402,100,45_and_up,2,1113.37722645,4,Foot_or_bicycle,Industry_or_other,818.111693599,0,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9048,Whites,2,132.591080554,32206.9775083,Foreign_Affairs,44.1970268515,No,728.71366702,No,Female,By_16:00,0.843136322219,0.176880091429,0.202726253774,4.77093474241,8.58185667312,7.86667724838,5207.0,46.2084333645,822.986206055,8933.10908231,96666.6920885,Yes,531023.608502,28.6877361612,1356153.02887,31.1948082177,2007.57420936,40,Below_30,1,1214.42119704,7,Motorcycle_or_truck,Hightech,801.72448977,0,Yes,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
9049,Yellows,8,545.146660532,79807.8746717,Financial,181.715553511,No,439.191214675,Yes,Female,After_16:00,0.370584632503,0.132386923768,4.07234078739,1.44065091154,0.507843522355,7.17990936479,4785.0,44.4850925123,566.653788895,5525.21972454,65612.1387427,Yes,192888.923048,23.8044909396,643199.336543,23.4678278212,33212.2579412,60,Below_30,1,832.463726726,17,Motorcycle_or_truck,Services_or_Retail,557.112390506,1,No,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0
9050,Reds,7,311.625569543,58551.8771547,Healthcare,103.875189848,No,563.675284162,No,Female,By_16:00,0.0448416958097,0.00434653297998,9.45468492806,8.42871422879,8.83854905143,5.86853796849,5011.0,97.5167562254,635.045387349,6906.84361632,75746.5805491,Yes,317729.825975,25.2001068916,807806.80978,63.7171721784,10903.9302557,80,30-45,1,961.831632039,12,Public_or_other,Student_or_Unemployed,667.846510018,0,No,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0
