,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_IssueInt,Looking_at_poles_resultsInt,MarriedInt,GenderInt,Voting_TimeInt,Will_vote_only_large_partyInt,Age_groupInt,Main_transportationInt,OccupationInt,Financial_agenda_mattersInt
10,Reds,3,186.589150758,36596.3550606,Education,62.1963835861,No,588.400047569,No,Female,By_16:00,0.587284116773,0.107310965424,3.62562976778,0.241299888585,6.80542862043,2.15353647247,4863.0,44.204016868,657.96329971,7199.92707511,78834.7611709,Yes,346214.615979,25.6507953037,867133.933508,79.463044554,3940.58651477,100,Below_30,2,1003.0699394,2,Foot_or_bicycle,Public_Sector,704.125929801,0,No,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0
11,Greys,7,808.982210676,174001.454815,Healthcare,269.660736892,No,645.260621995,No,Female,By_16:00,0.867988045327,0.676179493777,7.76161466027,9.23497212119,5.18342104042,9.07911336515,8909.0,64.7812126204,616.720424157,7686.04706826,76154.9185725,Yes,416361.270297,24.8338564093,762032.4609,10.7785643311,72996.5737581,80,30-45,2,964.093010593,3,Foot_or_bicycle,Industry_or_other,689.037133304,0,No,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
12,Blues,10,878.873718835,116728.964743,Financial,292.957906278,No,398.449614234,Yes,Male,After_16:00,0.268710514531,0.377254287479,8.38647138793,8.85550512699,7.48722598189,6.29783769604,9338.0,56.9991972996,577.192916267,5138.88197487,66927.7328508,Yes,158762.095083,24.024839568,667319.542449,49.2843314307,86127.2927572,60,Below_30,3,863.202414486,8,Car,Services_or_Retail,607.767656844,0,No,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0
13,Whites,3,814.449505702,202704.176961,Foreign_Affairs,271.483168567,No,746.654674876,No,Female,After_16:00,0.251974375686,0.634771074634,8.15493672621,1.998651959,4.37455391977,1.33414563257,7522.0,24.2557555204,856.314447748,9179.17564426,102411.050773,Yes,557493.203515,29.2628509846,1468227.81567,77.7366078692,73984.5939839,40,45_and_up,3,1306.49554612,7,Public_or_other,Industry_or_other,922.294151314,0,Yes,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
14,Yellows,3,212.777485517,27960.9370465,Environment,70.9258285057,No,394.227852329,Yes,Male,After_16:00,0.137731098337,0.974622375332,9.68813905958,7.85332650179,0.400260644965,0.535411802121,8835.0,60.1186190732,558.082453121,5058.44342953,64797.6198611,Yes,155415.599552,23.623768817,623901.022472,30.6634760927,5111.39897772,90,Below_30,3,834.069821778,12,Public_or_other,Industry_or_other,584.745657472,0,No,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0
15,Reds,4,659.901610948,136141.552241,Education,219.967203649,No,618.917502164,No,Male,After_16:00,0.351158706471,0.183623137884,2.14865933638,7.18925170135,3.10346725164,4.27666595438,6535.0,85.5544387596,700.466566775,7590.10815519,83535.0601708,Yes,383058.874485,26.4663289252,982673.832767,71.334164287,48615.5378849,100,30-45,1,1061.35812318,2,Motorcycle_or_truck,Industry_or_other,738.092925739,0,No,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
16,Reds,10,835.721677408,100920.457782,Environment,278.573892469,No,362.275362156,Yes,Male,After_16:00,0.96163743292,0.275621754816,0.890116861556,9.55265465192,5.24332439993,3.30911157653,8279.0,13.7685709633,694.497953891,5011.74952935,81385.359347,Yes,131243.438026,26.3533290855,965882.171362,11.7554700468,77891.9874579,90,45_and_up,1,1088.81573557,18,Foot_or_bicycle,Public_Sector,855.080081699,0,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0
17,Whites,10,99.6883511733,21739.6331171,Military,33.2294503911,No,654.227887047,No,Female,After_16:00,0.155914471252,0.722214767477,6.16138962097,1.83863207698,9.89307595883,0.794862208422,6512.0,81.1215313617,730.995504047,8004.26987857,84823.5417982,Yes,428014.128191,27.0369285247,1070034.90904,67.40342048,1147.42582369,30,Below_30,4,1054.23238136,6,Public_or_other,Services_or_Retail,661.827278028,1,Yes,5.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0
18,Blues,10,477.005540875,92186.7942162,Healthcare,159.001846958,No,579.784423764,No,Male,By_16:00,0.690316163702,0.198524841806,3.41067095986,9.4528351631,5.68101092475,1.39158835169,5733.0,17.0695242705,643.413501231,7084.67124011,76259.7825956,Yes,336149.97804,25.3655968042,829200.797961,0.592427700758,25450.5891831,80,Below_30,1,961.623795508,5,Motorcycle_or_truck,Hightech,649.146404047,1,No,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0
19,Blues,10,487.857863107,93871.1174388,Education,162.619287702,No,577.244672296,No,Female,By_16:00,0.524855276803,0.613582891878,5.6626683916,9.19628464384,1.54738461599,2.8134973417,7933.0,37.5082053943,652.893246483,7078.23321593,77303.118972,Yes,333211.411695,25.551775799,853789.840314,99.0508465562,26617.6520205,100,45_and_up,1,977.034906984,18,Motorcycle_or_truck,Public_Sector,663.41303584,0,No,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
20,Oranges,8,176.017675665,21565.758997,Financial,58.672558555,No,367.561250577,Yes,Male,After_16:00,0.690570772393,0.286923886742,2.85722472705,8.84796132101,1.74696990522,6.01520839846,4656.0,71.6432590503,579.302216804,4834.21693937,70324.0382684,Yes,135101.272925,24.0686978627,672330.60498,74.4733958272,3511.14168595,60,Below_30,2,943.591591143,16,Motorcycle_or_truck,Services_or_Retail,770.926941924,1,No,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0
21,Blues,9,301.074110435,42616.9391655,Financial,100.358036812,No,424.648991944,Yes,Male,After_16:00,0.262529863277,0.983072731877,8.67245527916,5.99364289315,1.92358133849,8.63657424925,4926.0,58.380750427,581.71564508,5409.9212096,67813.8809257,Yes,180326.766359,24.1187819983,677832.0323,65.1908875909,10182.0935895,60,45_and_up,4,871.608902728,2,Foot_or_bicycle,Public_Sector,611.199845924,0,No,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0
22,Yellows,7,223.026474607,43716.815652,Healthcare,74.3421582024,No,588.048782939,No,Female,By_16:00,0.523597079096,0.0547750811093,7.07851858344,7.78507604962,4.03183629038,3.81347276503,6579.0,66.3176965201,639.566287877,7159.62040514,80400.498766,Yes,345801.371116,25.2896478401,819524.572674,77.0253062015,5611.09864439,80,Below_30,2,1052.63989447,18,Public_or_other,Hightech,836.450714171,0,No,4.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0
23,Whites,5,377.706141684,58746.9813057,Foreign_Affairs,125.902047228,No,466.608626302,Yes,Female,By_16:00,0.882144154981,0.767243814887,3.16897478653,9.82622225769,8.09790743515,4.05907692155,6860.0,33.762729913,698.888510164,6063.86328335,82589.3412136,Yes,217723.61014,26.4364995823,978181.947634,85.4596072342,15987.2275434,40,30-45,3,1083.18038598,2,Car,Student_or_Unemployed,815.039728407,0,Yes,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0
24,Greys,4,162.461946564,21278.9576852,Healthcare,54.1539821881,No,392.934311115,Yes,Female,After_16:00,0.735137200681,0.610530333826,5.2296953951,3.1045308942,5.46864249045,3.91152820317,3403.0,92.8435654147,543.063941263,5015.47099368,65735.6250231,Yes,154397.372852,23.3037323462,590918.5458,38.1848409772,2996.80776902,80,Below_30,0,867.412422446,10,Foot_or_bicycle,Student_or_Unemployed,678.722888395,1,No,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0
25,Browns,4,2181.96898648,178741.490211,Financial,727.322995493,Yes,245.752562917,Yes,Female,By_16:00,0.0695145411883,0.107804949628,2.5878426549,7.32938265195,1.84377499623,7.17967757257,9619.0,36.7771384539,502.97439475,3463.47441867,47189.1358979,No,60394.3221804,22.4270906439,506342.818318,26.5384794679,529736.062768,60,Below_30,2,537.543314789,18,Motorcycle_or_truck,Services_or_Retail,120.582206445,0,No,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0
26,Greens,4,500.367651353,161526.707155,Foreign_Affairs,166.789217118,No,968.44814039,No,Female,By_16:00,0.959515200695,0.0569906434976,9.05070068082,6.65615546983,2.89454304846,2.76146339718,9954.0,41.4778755046,978.993559524,11642.468523,113076.443171,Yes,937891.800626,31.2888727749,1918630.58993,21.1092375685,27995.4321639,40,30-45,3,1375.62032245,2,Public_or_other,Public_Sector,795.362609671,0,Yes,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0
27,Greys,6,777.950459773,119139.708115,Financial,259.316819924,No,459.436870117,Yes,Female,By_16:00,0.47211828595,0.936333028832,5.65423525404,6.76038086647,9.95511623798,3.8269722485,8533.0,73.6135471845,604.157389274,5802.68347972,73122.5062215,Yes,211082.237623,24.5796132857,731219.97752,9.93680434767,67514.5299156,60,Below_30,2,958.804647959,1,Car,Industry_or_other,738.238621202,0,No,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
28,Greys,9,179.543680058,27733.7612973,Healthcare,59.8478933527,No,463.404135779,Yes,Female,After_16:00,0.430622293148,0.17457172717,6.03666674811,1.53945588274,8.45455683069,0.705574923195,5840.0,13.2539944258,623.378848101,5880.79905399,74843.7033338,Yes,214743.393057,24.9675559096,778419.064358,37.6325972378,3651.61823211,80,45_and_up,1,979.023228553,3,Foot_or_bicycle,Student_or_Unemployed,743.283703368,0,No,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0
29,Yellows,7,372.009126715,58456.3949597,Financial,124.003042238,No,471.410974317,Yes,Female,By_16:00,0.799927541288,0.333653789712,7.07879074384,6.68106471188,4.19537367299,9.79867949383,5846.0,56.6359683638,673.240848059,6060.59143928,81792.646973,Yes,222228.306706,25.9468851321,907853.95051,33.362815436,15510.7575266,60,Below_30,1,1086.08813383,7,Motorcycle_or_truck,Industry_or_other,866.060546299,2,No,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0
30,Pinks,4,454.161063358,126932.562045,Other,151.387021119,No,838.463965448,No,Male,By_16:00,0.723213713616,0.428436212009,6.7661170545,2.98818388721,5.92242767103,7.02309360495,9415.0,10.366323241,674.017699901,9732.67505429,86201.4494547,Yes,703021.821356,25.9618508566,910231.929006,81.3098880928,23079.4171845,50,45_and_up,1,1082.33506667,1,Public_or_other,Student_or_Unemployed,783.745480435,1,Yes,6.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0
31,Yellows,2,973.196357144,125608.472115,Financial,324.398785715,No,387.203891155,Yes,Female,By_16:00,0.912312682252,0.209732400952,7.36616106005,9.76008133031,4.66382720973,5.38512743078,9049.0,81.7240055418,623.838274254,5119.71546005,69798.5651805,Yes,149926.853325,24.9767546782,779324.242526,71.2727141101,105568.970959,60,30-45,2,889.501729216,6,Public_or_other,Industry_or_other,578.653786544,2,No,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0
32,Reds,8,267.893698329,35579.2183785,Social,89.2978994431,No,398.432870207,Yes,Female,After_16:00,0.297253112309,0.448428574018,2.00159518747,6.39730398543,9.97538997792,5.01840817276,3942.0,90.7754317624,771.27098295,5526.87066797,88182.8539122,Yes,158748.752061,27.7717659314,1190983.15274,49.6299243066,8073.4127444,70,Below_30,3,1162.41796478,16,Car,Student_or_Unemployed,856.861586205,0,No,7.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0
33,Reds,9,324.024282178,40185.2465429,Healthcare,108.008094059,No,372.057732273,Yes,Female,By_16:00,0.584109788993,0.908069351921,8.71293867473,6.84504490113,3.41298486339,5.82868769532,7091.0,64.1126756789,693.965384006,5108.50809074,81076.5051853,Yes,138426.956144,26.3432227339,964394.239739,86.2382113235,11783.7564764,80,Below_30,3,1079.91142353,11,Motorcycle_or_truck,Industry_or_other,836.273609399,0,No,4.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0
34,Yellows,10,115.354234619,19015.4475737,Education,38.4514115398,No,494.531847133,Yes,Female,By_16:00,0.642387102591,0.0500858996529,3.82826813729,8.58187353937,4.01271997718,2.82023098553,6958.0,87.272142875,579.391888589,6104.10224851,72653.8286894,Yes,244561.747829,24.0705606206,672672.515416,28.4118987387,1526.96246094,100,45_and_up,2,959.937106205,1,Foot_or_bicycle,Industry_or_other,778.062443524,3,No,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
35,Pinks,3,304.432157457,90596.0608043,Military,101.477385819,No,892.770936827,No,Male,After_16:00,0.737957999343,0.292131955735,5.10946338763,5.5886827223,8.01863277098,3.47804443911,7758.0,70.8543197718,818.426308455,10564.5619852,99592.8716032,Yes,797039.945643,28.6081510842,1341369.56616,36.4258631365,10409.1372185,30,30-45,3,1237.63601044,17,Foot_or_bicycle,Student_or_Unemployed,823.550478292,0,Yes,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0
36,Whites,4,382.164295635,63294.0954684,Military,127.388098545,No,496.860351879,Yes,Male,By_16:00,0.258519609459,0.837085790699,0.111116685439,0.193473964464,7.72735001519,0.584124764428,7574.0,56.2056454131,990.348753371,6949.30102553,102860.088415,Yes,246870.209269,31.469807012,1962748.40879,14.457328734,16365.1157495,30,45_and_up,3,1271.12082982,18,Car,Student_or_Unemployed,660.241833192,1,Yes,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0
37,Pinks,4,41.9050028232,13853.7954366,Other,13.9683342744,No,991.80010762,No,Male,By_16:00,0.286401512334,0.367049158784,8.0937171448,1.33255376481,4.52408774756,8.1305891322,8113.0,69.0646441653,990.120273083,11898.2416224,118908.715172,Yes,983667.453475,31.4661766518,1962671.08834,74.7690156102,219.082696676,50,30-45,4,1486.7772021,1,Motorcycle_or_truck,Hightech,992.97789113,1,Yes,6.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
38,Whites,2,122.868566985,37286.7722127,Military,40.9561889951,No,910.406293347,No,Male,By_16:00,0.0861844702158,0.779476522468,0.262267130893,8.93502625171,0.405478815082,3.36600270122,8166.0,43.7373802299,983.972726652,11072.0083868,116720.111892,Yes,828839.618967,31.3683395584,1938304.42453,47.3296804819,1728.365606,30,30-45,1,1466.29840446,18,Public_or_other,Hightech,979.364642285,0,Yes,5.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0
39,Greens,2,39.2941424113,6257.1849468,Foreign_Affairs,13.0980474704,No,477.718908939,Yes,Female,After_16:00,0.535064002266,0.0765039240941,1.81858245283,7.17346463585,4.60227598203,8.30049640732,6151.0,31.4774603816,879.829720971,6536.84853133,89261.8387575,Yes,228215.355958,29.6619237571,1549155.97035,35.7341486262,194.656895008,40,Below_30,4,1073.40645777,13,Car,Industry_or_other,467.575635994,0,Yes,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
40,Pinks,2,290.838463376,16742.0322132,Military,96.9461544588,No,172.69413425,Yes,Female,After_16:00,0.337974476861,0.736314727925,8.87815953,6.32880258374,7.20383649692,2.44277560851,7631.0,97.573485435,114.433269948,1955.8078824,20129.1961844,Yes,29823.2640044,10.6973487345,26722.1508634,37.1592930518,9505.50301881,30,45_and_up,4,295.014449993,16,Motorcycle_or_truck,Industry_or_other,349.51018723,0,Yes,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
41,Browns,4,2018.64729205,324684.925531,Education,672.882430684,Yes,482.528463703,Yes,Male,By_16:00,0.339137614472,0.967638190137,8.21463641012,8.12936633127,5.13526001014,1.05385021074,6583.0,91.1442559911,698.08660498,6221.45784699,74152.2131108,No,232833.718284,26.4213285998,975581.575038,86.288211518,453453.647954,100,Below_30,2,896.146026274,10,Public_or_other,Industry_or_other,439.230470845,5,No,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0
42,Greys,6,212.653697692,47260.6034574,Environment,70.8845658974,No,666.726287437,No,Male,By_16:00,0.587992817163,0.316026377724,3.00078527071,4.25227531465,2.69185909303,4.53989534173,9007.0,70.9801531397,615.141769093,7897.54641255,75899.0598157,Yes,444523.942359,24.8020517114,758143.056339,74.0669148276,5105.50624836,90,30-45,1,954.069164446,3,Foot_or_bicycle,Industry_or_other,667.537887038,1,No,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
43,Pinks,10,128.101767222,31333.9136159,Other,42.7005890741,No,733.805183847,No,Female,After_16:00,0.651963574812,0.416820739163,5.54893234046,3.54463380063,1.28574802075,5.28383949306,6516.0,93.6471841065,428.070988273,8194.19381502,68297.9351414,Yes,538470.047841,20.6898764683,368171.502315,11.6915846709,1876.04089635,50,30-45,2,927.72197205,3,Public_or_other,Industry_or_other,938.155128439,1,Yes,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
44,Reds,2,39.2603186772,5122.28605209,Financial,13.0867728924,No,391.409409654,Yes,Female,By_16:00,0.973179291934,0.418946211692,2.47572530759,3.12559964135,0.505442400463,4.59140022984,9122.0,24.4517173152,705.347324549,5324.78874564,83204.6170015,Yes,153201.325966,26.558375789,996306.013346,99.1901418194,194.350397629,60,30-45,2,1111.40725205,6,Motorcycle_or_truck,Student_or_Unemployed,874.907437973,3,No,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0
45,Oranges,6,272.87642367,40334.9774956,Healthcare,90.9588078899,No,443.442239749,Yes,Female,After_16:00,0.0103049362078,0.146993133007,3.19010442123,0.447338330559,5.20921021001,9.60477761226,7792.0,11.3117785426,606.354426499,5647.13125049,73328.0546258,Yes,196641.019994,24.6242649941,736536.179067,0.455302512273,8374.46354065,80,45_and_up,1,965.74108674,19,Public_or_other,Hightech,751.355757834,4,No,4.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
46,Blues,5,98.6503985235,18775.2074185,Education,32.8834661745,No,570.961933235,No,Male,After_16:00,0.358518776484,0.0031078311149,9.52882331796,6.1762016057,6.19894335279,4.33587343665,8475.0,9.73978880793,642.179913051,6993.97915845,75967.8444954,Yes,325997.529204,25.3412689708,826018.308541,99.2968412116,1124.20581382,100,45_and_up,2,958.690693032,20,Public_or_other,Services_or_Retail,647.265155926,2,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0
47,Reds,1,275.097129549,34922.3791825,Education,91.6990431831,No,380.836898295,Yes,Female,By_16:00,0.389543169644,0.78606451978,6.18144010426,4.9009674741,9.25630731275,6.67455884628,3443.0,26.0532152373,670.25393412,5148.87685119,79421.9431599,Yes,145036.743103,25.8892629119,899711.831094,65.2533797547,8510.41356389,100,30-45,3,1061.47312531,5,Motorcycle_or_truck,Services_or_Retail,840.321789536,1,No,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
48,Greys,10,490.608512754,97489.9275648,Education,163.536170918,No,596.136787462,No,Male,By_16:00,0.573845932493,0.56100407755,3.96158545744,0.174180355389,3.7487021368,3.52720203809,4993.0,71.5277636657,578.221847955,7117.81157053,71013.4874186,Yes,355379.069365,24.0462439469,669922.861353,5.91175288428,26917.6153694,100,30-45,2,897.870172239,18,Car,Student_or_Unemployed,635.713660666,1,No,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0
49,Oranges,3,21.8778538427,3036.62454596,Financial,7.29261794758,No,416.397042569,Yes,Female,By_16:00,0.800656298641,0.491130491951,1.8829031405,2.30567153543,2.45747317327,3.61683994066,7823.0,73.2882350218,583.172451405,5330.3153285,71568.1911556,Yes,173386.49706,24.148963775,681382.076038,82.8440360492,70.4748944769,60,45_and_up,4,954.22633051,5,Foot_or_bicycle,Student_or_Unemployed,775.462839977,0,No,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0
50,Whites,3,197.28697163,62038.6156757,Military,65.7623238768,No,943.376268027,No,Female,By_16:00,0.0188357844017,0.49334397912,4.36535487883,7.24662298337,3.85932622477,1.52361118933,7934.0,11.1500313273,967.50179092,11368.7662621,116124.460082,Yes,889958.783077,31.1046908186,1874059.19497,64.1356346663,4400.44556555,30,30-45,1,1458.28315715,17,Foot_or_bicycle,Industry_or_other,986.387837029,0,Yes,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
51,Whites,10,35.8207051098,319.749905359,Military,11.9402350366,No,26.7791969236,Yes,Male,After_16:00,0.317313627107,0.239501458127,2.18744910788,4.93038564688,2.92708738009,0.794736826792,5540.0,84.1149086365,294.677093139,857.146155513,31390.7894614,Yes,717.125387873,17.1661612814,174026.01745,65.0235421257,164.509447766,30,45_and_up,4,427.917209226,11,Foot_or_bicycle,Industry_or_other,320.059811418,0,Yes,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
